Issue title,HM5_ISSUE_DESC
DURING RUNNING RIDER IS FEEL UNCOMFORTABLE & PAIN OBSERVED ON UNDER THIGH AREA.,ACWA_M1_2012_Fleet_2578_KMS_During running rider is feel uncomfortable & pain observed on under thigh area because area is  continually in contact  with fuel tank cover & pillion weight tranfer to rider side during running & Braking  Same issue observed on PAVE vehicle.
COOLANT CAP FOULING SHROUD AT ONE END - ALSO LEAD TO NOT ABLE TO OPEN & CLOSE THE CAP,Coolant cap fouling shroud at one end - Also lead to not able to open & CLose the Cap
LH SWITCH ASSEMBLY HARNESS & SPEEDOMETER HARNESS,"1) LH switch assembly harness & speedometer harness are not as per CAD layout. 2) Also, the size of rubber boot provided near the front side of frame seems small."
AIR CLEANER DUCT PIP REQUIRED ON TOP SIDE- ORIENTATION TO BE CHANGED & CASCADING IMPACT ON CLAMP TO BE TAKEN CARE AS PER THE BOL,Air cleaner duct Pip required on top side- orientation to be changed & cascading impact on Clamp to be taken care as per the Bolt head orienation requirement
MAIN HARNESS ROUTING,Main harness cord on the LH-side near ignition coil is not as per CAD layout and is in loose condition due to absence of mounting clamp.
SEAT LOCK CABLE MTG BRACKET FOUND RUSTY.,ACWA_M1_2012_Fleet_10631_KMS_Seat lock cable mtg bracket found rusty.
ACG T MARK VISIBILITY,"ACG T mark is available in grove provided inside the Cam sprocket. However, the  visbility is not satisfactory."
HEAVY BOTTOMING OBSERVED ON FRONT SUSPENSION & RH FORK OBSERVED MINOR SEEPAGE.(EFFECTIVE KM-429),ACWA_M1_2011_PAVE_492_kms_Heavy bottoming observed on front suspension & RH fork observed minor seepage.(Effective km-429)
SWITCH REACH FELT FAR ON RH-SWITCH ASSEMBLY,"Switch reach felt far on RH-switch assembly and is not comfortable to operate the switches (Self switch & Hazard Switch). 1) 'Recommend to rotate the switch case in downward direction by approximately 15 degree to achieve better ergonomics. 2) On rotating switch case by 15 degree, throttle cables foul with brake lever and switch case fouls with the dog's leg bend of brake lever (Refer Attached Image) . Recommend to modify the bend tube of throttle cable and change the brake lever angle to avoid fouling."
THROTTLE GRIP  ROTATION HARD WITH HANDLE,Throttle Grip  rotation Hard with Handle
MUFFLER COVER LOCK FOUND BEND.,ACWA_M1_2011_PAVE_2500_kms_Muffler cover lock found bend.
THROTTLE OPERATION HARD & JERKY OBSERVED.,ACWA_M1_2012_Fleet_0_kms_Throttle operation hard & jerky observed.
BAS BKT SUB ASSY REVERSE ASSY POSSIBLE,BAS BKT sub assy Reverse assy possible
WATER ENTRY OBSERVED IN FUEL CAP SEAL AREA,"ACWA_M1_2015_Special Test_200_kms_Water entry observed in fuel cap seal area. Issue observed in rain simulation static,dynamic, water wash & water wade test,refer reports."
RIDER SEAT PINS FOUND RUSTY & REXINE FOUND CUT IN MULTIPAL LOCATIONS.,ACWA_M1_2012_Fleet_10631_KMS_Rider seat pins found rusty & rexine found cut in multipal locations.
"RH & LH LEG TOE, ANKLE, CALF, KNEE & THIGH TEMPERATURE FOUND MORE AGAINST THE SPEC VALUE OF 58+/-3.","ACWA_M1_UID_2007_Thermal test_High speed & city cycle CIT track_RH & LH leg toe, ankle, calf, knee & thigh temperature found more against the spec value of 58+/-3. Refer attached screenshot for NG points of thermal Trial/refer thermal test released report."
WIRE HARNESS THIMBLE VISIBLE NEAR IGNITION LOCK (WINKER CONNECTION WIRE),Wire harness thimble visible near ignition lock (Winker connection wire)
SELF SWITCH RUB WITH SWITCH CASE WHILE OPERATING,"While operating, rubbing of self switch knob with the switch case is observed (refer highlighted area)."
_STUCKING ISSUE OBSERVED ON REAR WHEEL FLANGE BEARING.,ACWA_M1_2011_PAVE_2500_kms_Stucking issue observed on rear wheel flange bearing.
HT COIL POSITIVE CABLE COUPLER FOULING WITH FRAME.,ACWA_M1_2012_Fleet_0_kms_HT coil positive cable coupler fouling with frame.
GAP BETWEEN TANK COVER L SIDE AND SHROUD INNER LH,"Design specification for Gaps between tank cover L-side & inner shroud are 3.0 mm (+/- 1.0mm). However, observed gaps at point 10 are LH - 2.8mm , RH - 0.8mm and at point 11 are LH- 5.4mm , RH - 4.3mm.  Please refer attached image for better clarification."
HEAT SHIELD LUG DIFFICUT TO ASSY WITH BATTERY BOX,Heat shield Lug Difficut to Assy with Battery Box
MORE PLAY CAPTURED  IN RIDER SEAT,More Play Captured  in Rider Seat
REAR CUSHION FOULING WITH CHAIN CASE,Rear cushion fouling with chain case
CHAIN SLIDER WEAR OUT FROM FRONT SIDE.,ACWA_M1_2012_Fleet_8184_KMS_Chain slider wear out from front side because of chain slider not fitted properly in front side (Chain slider mounting hole dia found mismatch) this cause drive chain continusly rubbing with chain slider & chain slider mounting lugs found damaged.
DRAIN HOLES AVAILABLE ON THE USB CHARGER GETS BLOCKED BY THE MATING SURFACE.,"Drain hole provided on USB charger to prevent water logging inside the charger. However, these drain holes get blocked between two mating surfaces while assembling and restrict water drainage."
"REAR LH/RH WINKER WRONG ASSY POSSIBLE , LH RH IDENTIFICATION REQUIRED FOR SA LEVEL","Rear Lh/Rh winker wrong Assy possible , LH RH Identification Required for SA Level"
IGNITION KEY OBSERVED HARD & STUCK DURING KEY ON/OFF OPERATION & HANDLE BAR LOCKING ISSUE.,ACWA_M1_2011_PAVE_1220_kms_Ignition key observed hard & stuck during key on/off operation & handle bar locking issue. Same issue observed in fleet vehicle @1097km.
SPEEDO METER BOTTOM SIDE SILVER STRAP CAME OUT.,ACWA_M1_2015_Special Test_269_kms_Speedo meter bottom side silver strap came out.
REAR BRAKE HECU TO CALIPER HOSE OUTER SLEEVE FOUND CUT.,ACWA_M1_2011_PAVE_2500_kms_Rear brake HECU to caliper hose outer sleeve found cut.
SPEEDO METER INFORMATIONS VISIBILTY OBSERVED POOR DUE TO GLARES.,ACWA_M1_2012_Fleet_558_kms_During running in sun light condition speedo meter informations visibilty observed poor due to glares.
THROTLE CABLES AND CLUTCH CABLE FOULING WITH SPEEDOMETER STAY WHILE ROTATING HANDLE,Throtle cables and clutch cable fouling with speedometer stay while rotating handle
REAR CHAIN SPROCKET FLANGE BEARING WAS OBSERVED STUCK & JAM. (MAKE:NBC),ACWA_M1_2012_Fleet_0_kms_Rear chain sprocket flange bearing was observed stuck & Jam. (make:NBC)
LESS GAP BETWEEN HEMENT HOLDER STAY IN REAR GRIP L & COVER INNER,"Less gap Between Hement Holder Stay in Rear Grip L & Cover inner , 2mm Gap"
"BATTERY BOX FITMENT HARD, FRAME CLUTCH ROUTINE WIRE GUIDE FOULING WITH BATTREY BOX","Battery Box Fitment hard, Frame clutch Routine wire guide Fouling With Battrey Box"
CLUTCH CABLE FOUND BEND AT ENGINE END.,ACWA_M1_2012_Fleet_10631_KMS_Clutch cable found bend at engine end.
GAP OBSERVED BETWEEN IGNITION LOCK & TOP BRIDGE FORK,ACWA_M1_2012_Fleet_0_kms_Gap observed between ignition lock & top bridge fork
ABS STIFFNESS TESTING SPEC REQUIRED.,ABS Stiffness testing spec required.
REAR SUSPENSION REBOUND DAMPING FEEL VERY LESS.,"ACWA_M1_2011_PAVE_2030_KMS_A)Rear suspension rebound damping feel very less, Throwing feel on rider back and uncomfortable. Body control observed less on wavy patches. B)Rear cushion spring rubbing with under case, rubbing marks observed on under case.(cum km:727)"
FRONT FENDER MTG HOLES GOT OBLONG.,ACWA_M1_2012_Fleet_10631_KMS_Front fender mtg holes got oblong.
ACWA_M1_2012_FLEET_10631_KMS_RUBBING MARK OBSERVED ON FRONT COWL DUE TO RUBBING WITH HEADLAMP LIGHT.,ACWA_M1_2012_Fleet_10631_KMS_Rubbing mark observed on front cowl due to rubbing with Headlamp light.
"FRONT INNER PANEL LOWER MTG NOT POSSIBLE, FATNEAR NOT GETTING INSERT IN SLOT.","Front Inner panel Lower mtg not Possible, Fatnear Not Getting insert in Slot. Slot Iner din 7.mm and Screw outer dia 9mm."
NOISE SPACER CAP AND BATTERY POSITIVE TERMINAL CABLE,Noise spacer cap and battery positive terminal cable are fouling with fuel filter mounting stay.
MINOR SLUDGE DEFORMATION OBSERVED ON ECU CONNECTOR.,ACWA_M1_2011_PAVE_2500_kms_Minor sludge deformation observed on ECU connector.
GAP BETWEEN CHAIN SPROCKET TO HUGGER FENDER MOUTING BOLT,Gap between Chain sprocket to Hugger Fender Mouting bolt is observed to be 1.5mm against the design specification of 4.9 mm (+/-1.5 mm).
IN WIRE HARNESS BRANCH FOR OBD/ABS IS NOT ABLE TO ROUTE IN BETWEEN FRAME DUE TO SPACE CONSTRAINTS,In Wire Harness Branch for OBD/ABS is not able to route in between frame due to space constraints
WATER ENTRY OBSERVED IN ACG COUPLER,"ACWA_M1_2015_Special Test_200_kms_Water entry observed in ACG coupler.Paste colour changed from green to pink. Issue observed in rain simulation static,dynamic, water wade test,refer reports."
MASTER CYLINDER BRACKET HOLDER UPPER AND LOWER GAP NG,Master cylinder Bracket holder upper and lower gap NG
SPEEDO METER IS NOT OK.,"ACWA_M1_2012_Fleet_2120_Speedo meter is not ok, below issues observed during running. 1.Speedo meter digit reading direct start from 3kmph.(0,1,2 digit missing) 2.12kmph speed  difference observed between speedo meter reding & Laptime GPS. (speedo meter reading show 112 & Laptimer reading show 124) 3.During running speedo meter reading observed disappearing."
PRI O2 SENSOR PROTECTION PLATE FOUND WRONG FITMENT.,ACWA_M1_2012_Fleet_0_kms_Pri O2 sensor protection plate found wrong fitment.
WATER ENTRY OBSERVED ON LHS SWITCH ASSEMBLY COUPLER (MODE & SET),"ACWA_M1_2015_Special Test_200_kms_Water entry observed on LHS switch assembly coupler (mode & set). Issue observed in rain simulation static,dynamic, water wash & water wade test,refer reports."
FRONT CUSHION ON BOTH SIDES OF THE TOP MOUNTING BOLT HEAD WAS FOUND DAMAGED.,ACWA_M1_2012_Fleet_0_kms_ Front cushion on both sides of the top mounting bolt head was found damaged.
"HUGE AMOUNT OF MUD TRACES OBSERVED ON CRANK CASE, CYLINDER BLOCK, HEAD AND HEAD COVER, CANISTER & HUGE AMOUNT OF MUD PARTICLES D","ACWA_M1_2015_Special Test_200_kms_Huge amount of mud traces observed on crank case, cylinder block, head and head cover, canister & Huge amount of mud particles deposition observed on radiator fins also - this might leads to blockage of air passage. Issue observed during mud splash test. Note : Dust/dirt protector is not available in front of radiator."
RADIATOR HOSE FOULING,Radiator Hose connecting Thermostat to Radiator is fouling with Engine hanger.
MAIN HARNESS OUTER PROTECTION FOUND CUT DUE TO FOULING WITH SHROUD BRACKET.,ACWA_M1_2011_PAVE_2500_kms_Main harness outer protection found cut due to fouling with shroud bracket.
LICENSE PLATE HARNESS,License plate Harness wire length is more and not as per CAD layout.
RADIATOR GRILL NOT ABLE TO FIT ON RADIATOR,Radiator Grill Not able to fit on Radiator
RATELLING NOISE OBSERVED FROM SPEEDO METER & HEAD LAMP ASSEMBLY.,ACWA_M1_2012_Fleet_4870_KMS_Ratelling noise observed from speedo meter & head lamp assembly.
RUBBING MARKS OBSERVED ON FOOT PEG.,ACWA_M1_2012_Fleet_10631_KMS_Rubbing marks observed on foot peg.
ABNORMAL NOISE OBSERVED FROM INSIDE TAIL LAMP,"ACWA_M1_2011_PAVE_2500_kms_Abnormal noise observed from inside tail lamp, looks like some part damage inside."
FRONT SUSPENSION OBSERVED SEEPAGE AS HIGHLIGHTED IN THE PICTURE,ACWA_M1_2011_PAVE_2030_KMS_Front suspension observed seepage as highlighted in the picture. (cum km-1538)
"TAIL LIGHT COVER HARDWARE FRONT (WRONG MENTION IN DWG, HINTCH PATCH)","Tail light cover hardware front (Wrong mention in dwg, Hintch patch)"
THROTTLE CABLE FOUND RUBBING WITH SPEEDOMETER STAY.,ACWA_M1_2012_Fleet_0_kms_Throttle cable found rubbing with speedometer stay.
RH-SWITCH ASSEMBLY CABLE ROUTING,1) RH-Switch assembly cable routing is not as per CAD layout. 2) Taping is not properly done on RH-Switch assembly cable near coupler and the cables are fouling with cable guide.
CHAIN SLIDER OBSERVED WEAR & MTG LOCK FOUND DAMAGE.,ACWA_M1_2011_PAVE_2500_kms_Chain slider observed wear & MTG lock found damage.
RR COWL L/R & SIDE COVER L/R  HOLE MISMATCH,RCA and solution required.
"USB CHARGER ORIENTATION CHANGE , DURING INSETION OF CABLE IT IS BLIND FOR RIDER","USB Charger Orientation Change , During Insetion of cable it is blind for Rider"
FUEL TANK COVER UNEVEN GAP WITH FUEL TANK CAP- SAME CONCERN AS IN ABZM MODEL,Fuel Tank cover uneven gap with fuel tank cap- same concern as in ABZM model
COOLANT LEAKAGE FROM HEAD.,"""ACWA_Fleet_M1_Coolant leakage from Head (Puncher observed from RHS) """
FRONT FENDER MAY GET SCRATCHED DURING ASSY WITH FORKS AS ASSEMBLY NEED TO BE DONE THROUGH RUBBING ONLY,Front Fender may get scratched during Assy with Forks as assembly need to be done through rubbing only
OIL ENTRY OBSERVED IN AIR CLEANER ASSY,ACWA_M1_2012_Fleet_16934_KM_Oil entry observed in air cleaner assy. (3rd Engine cumulative km:12059)
BATTERY SUPPLIED DIRECTLY TO DEALERS- PROVISION REQUIRED TO ASSEMBLE BATTERY WITHOUT REMOVING FUEL TANK MOUNTING BOLTS. FINAL TO,Battery supplied directly to dealers- provision required to assemble battery without removing fuel tank mounting bolts. Final torqing and connections to be done at dealer end.
DRAIN TUBE OBSERVED FULL WITH OIL.,ACWA_M1_2011_Pave_890_Drain tube observed full with oil.
DURING INITIAL SERVICING 14 BAR COMPRESSION PRESSURE OBSERVED & EXHAUST DECOMPRESSION SPRING FOUND NOT WORKING.,ACWA_M1_2012_Fleet_1022_kms_During Initial servicing 14 bar compression pressure observed & Exhaust decompression spring found not working.
SWITCH OPERATING EFFORT OF MODE SWITCH FEELS MORE,Switch operating effort of mode switch is not meeting the design spec limit. Switch operating effort is observed to be 0.85 kgf against the design spec limit of 0.6 kgf (+/- 0.18 kgf).
REAR VIEW MIRROR'S HEIGHT AND MIRROR'S WIDTH IS NOT MEETING WITH DESIGN SPECIFICATIONS,Rear View Mirror's height is observed to be 1231.7 mm against the design specification of 1253 mm (+/- 20 mm) and Mirror's width is observed to be 890.3 mm against the design specifications of 842.8 mm.
WHEEL DAMPER PLAY OBSERVED MORE APPROX. 4 TO 5MM,"ACWA_M1_2012_Fleet_8513_KMS_Wheel damper play observed more approx. 4 to 5mm, Damper found wear out highlighted in the picture."
REAR HUGGER FENDER FOUND BROKEN NEAR THE NUMBER PLATE MOUNTING AREA.,ACWA_M1_2011_PAVE_2010_KMS_Rear hugger fender found broken near the number plate mounting area. refer image
HANDLE LOCK NOT WORKING BOTH SIDE,Handle Lock Not Working Both Side
EXCESS PLAY OBSERVED IN SPEEDOMETER & PANEL ASSY ( SUB ASSY),"Bolt Step  dia & Length More , so Rubber gromment could not compressed. Stack up to check & confitmed. No issue in assembly."
ACWA_M1_2012_FLEET_1022_KMS_DURING INITIAL SERVICING FOUND THAT OIL STRAINER O RING CUT,ACWA_M1_2012_Fleet_1022_kms_During Initial servicing found that oil strainer O ring cut as highlighted in the picture.
CLUTCH CABLE FOUND BROKEN NEAR CLUTCH LEVER DOWEL AREA.,ACWA_M1_2012_Fleet_8184_KMS_Clutch cable found broken near clutch lever dowel area.
MULTI COLOUR FRINGES OBSERVED WITH HIGH BEAM OF HEADLIGHT SPREAD,On putting headlight beam on high beam mode then Multi colour fringes were observed near the region sanwiched by low beam and high beam
_CARBON ACCUMULATION OBSERVED INSIDE ENGINE INTAKE MANIFOLD,ACWA_M1_2012_Fleet_16934_KM_Carbon accumulation observed inside engine intake manifold.(3rd Engine cumulative km:12059)
TCD TOWARDS THE RH-SIDE IS NOT MEETING SPEC REQUIREMENT,"Turning Circle Diameter on the RH-side is observed to be 5115mm. As per CAD layout, it should be within 4816 to 5062mm."
SIDE STAND SENSOR ISSUE OBSERVED.(IN NEUTRAL CONDITION VEHICLE IS OFF WHEN SIDE APPLYING ),ACWA_M1_2011_PAVE_1420_Side stand sensor issue observed.(In neutral condition vehicle is off when side applying )
SIDE STAND WAS BROKEN AT 14000 CYCLES,"It was failed in in on off Durabilty test  after completion of free fall ,handle rotation tests"
AIR CLEANER INSERTION HARD IN THROTTLE BODY- CHAMFER REQUIRED AT ENTRY SAME AS ACAA,Air Cleaner Insertion Hard in Throttle Body- Chamfer required at entry same as ACAA
"WATER ENTRY OBSERVED ON THE REAR FENDER STAY ASSEMBLY, WATER ENTER INSIDE FROM STAY END HOLES.","ACWA_M1_2011_PAVE_2500_kms_Water entry observed on the rear fender stay assembly, water enter inside from stay end holes."
ENGINE HEAD REAR LH SIDE MOUNTING BOLT SHEARED OFF  ISSUE.,ACWA_Fleet_M1_KMS_4554_Engine head rear Lh side mounting bolt Sheared off  Issue observed at 2923 Kms  & 5095 Kms
STL SPRING LENGTH EXCESS,STL spring length excess
FRONT BRAKE LEVER TO ABS HOSE FOUND DAMAGE.,ACWA_M1_2012_Fleet_10631_KMS_Front brake lever to ABS hose found damage.
BODY COVER MTG MISS MATCH WITH FRAME,"Body Cover mtg miss match with Frame ,10 Mtg Given on Body Part, 2 Mtg Only Slot Given ."
EXCESSIVE LENGTH OBSERVED OF THE IGNITION SWITCH WIRE HARNESS.,ACWA_M1_2012_Fleet_0_kms_Excessive length observed of the ignition switch wire harness.
DARK PATCHES OBSERVED IN HEADLIGHT SPREAD,Dark patches were observed on spread pattern near 1.5-2.0m from the headlight on both sides.
UNEVEN GAP BETWEEN FUEL TANK COVER & FUEL CAP,Uneven Gap Between Fuel tank Cover & Fuel Cap
CLUTCH CABLE RUBBING WITH BFT BRKT,Clutch Cable rubbing With BFT brkt
MUFFLER REAR MTG GROMMET FOUND CUT & GROMMET COLLAR FOUND BEND &  DAMAGE.,ACWA_M1_2011_PAVE_2500_kms_Muffler rear MTG grommet found cut & grommet collar found bend &  damage.
NORMAL BOLTS TO BE USED INSTEAD OF PLATED BOLTS IN AIR CLEANER - IMPROVEMENT,Normal bolts to be used instead of plated bolts in Air Cleaner - Improvement
INNER COWL MTG. HOLE RUBBER BURR OBSERVED,ACWA_M1_2012_Fleet_10631_KMS_Inner cowl mtg. hole rubber burr observed
RIDER SEAT STAY B LH SIDE FOUND BROKEN,ACWA_M1_2012_Fleet_16934_KM_Rider seat stay B LH side found broken
RUBBING MARKS OBSERVED ON RH SIDE SHROUD DUE TO FOULING WITH FUEL TANK COVER.,ACWA_M1_2011_PAVE_2500_kms_Rubbing marks observed on RH side shroud due to fouling with fuel tank cover.
"OVERFLOW BOTTLE NECK OBSTRUCTING THE RADIATOR FILLING CAP, FILLING NOT FEASIBLE. POINT RAISED IN THE DMU AS WELL.","Overflow bottle neck obstructing the radiator filling cap, filling not feasible. Point raised in the DMU as well."
BATTREY BOX GUIDE LUG NOT PROPER GUIDE BATTERY POSTIVE CONNETION CABLE,Battrey box guide lug not proper guide battery postive connetion cable
ACWA_M1_2012_FLEET_16665_KM_VEHICLE NOT HOLDING IDLE RPM.,ACWA_M1_2012_Fleet_16665_KM_Vehicle not holding idle rpm. And aftre rectification spark plug gap found 1 mm.
RADIATOR CAP ACCESSABILITY,"1) Radiator cap access in not convenient, clearnce around the body parts are less. 2) Knurling provided on the radiator feels smooth and does not provide enough friction with the fingers. As a result, the fingers slip over it while opening. 3) Radiator's coolant capacity is measured to be 780 ml against the design specification of 880 ml."
